cuda:4
Training N=64 T=01
Epoch: 135 | Train Loss: 0.02215 | Test Loss: 0.02422 | lr: 0.005
Epoch: 136 | Train Loss: 0.02451 | Test Loss: 0.02631 | lr: 0.005
Epoch: 137 | Train Loss: 0.02203 | Test Loss: 0.02354 | lr: 0.005
Epoch: 138 | Train Loss: 0.0212 | Test Loss: 0.02365 | lr: 0.005
Epoch: 139 | Train Loss: 0.02239 | Test Loss: 0.02444 | lr: 0.005
Epoch: 140 | Train Loss: 0.0264 | Test Loss: 0.02795 | lr: 0.005
Epoch: 141 | Train Loss: 0.02311 | Test Loss: 0.02505 | lr: 0.005
Epoch: 142 | Train Loss: 0.0244 | Test Loss: 0.02638 | lr: 0.005
Epoch: 143 | Train Loss: 0.03148 | Test Loss: 0.0333 | lr: 0.005
Epoch: 144 | Train Loss: 0.02229 | Test Loss: 0.02436 | lr: 0.005
Epoch: 145 | Train Loss: 0.02674 | Test Loss: 0.02817 | lr: 0.005
Epoch: 146 | Train Loss: 0.02358 | Test Loss: 0.02509 | lr: 0.005
Epoch: 147 | Train Loss: 0.02305 | Test Loss: 0.02455 | lr: 0.005
Epoch: 148 | Train Loss: 0.02292 | Test Loss: 0.02475 | lr: 0.005
Epoch: 149 | Train Loss: 0.02379 | Test Loss: 0.02637 | lr: 0.005
Epoch: 150 | Train Loss: 0.02782 | Test Loss: 0.02949 | lr: 0.005
Epoch: 151 | Train Loss: 0.0202 | Test Loss: 0.02255 | lr: 0.005
Epoch: 152 | Train Loss: 0.02266 | Test Loss: 0.02445 | lr: 0.005
Epoch: 153 | Train Loss: 0.02686 | Test Loss: 0.02788 | lr: 0.005
Epoch: 154 | Train Loss: 0.02266 | Test Loss: 0.02477 | lr: 0.005
Epoch: 155 | Train Loss: 0.0215 | Test Loss: 0.02327 | lr: 0.005
Epoch: 156 | Train Loss: 0.02544 | Test Loss: 0.027 | lr: 0.005
Epoch: 157 | Train Loss: 0.022 | Test Loss: 0.02302 | lr: 0.005
Epoch: 158 | Train Loss: 0.02459 | Test Loss: 0.0267 | lr: 0.005
Epoch: 159 | Train Loss: 0.023 | Test Loss: 0.02495 | lr: 0.005
Epoch: 160 | Train Loss: 0.02273 | Test Loss: 0.02455 | lr: 0.005
